title;slug;price;desc;benefits;category;image;price_main;price_extra;price_diagnostics;warranty_text;related_brands;faq_title;faq;Focus Keyword;SEO Title;Meta Description;Meta Keywords;Facebook Title;Twitter Title
Ремонт омывателя фар;remont-omyvatelya;2000;Чистим форсунки, ремонтируем насосы и магистрали омывателя.;Форсунки, Насос;Механика;https://ksenonspb.ru/wp-content/uploads/2016/08/IMG_toyota-nolden-pioneer-bixenon-1.jpg;Диагностика узла::Входит в стоимость::30 мин::-|Ремонт механики::от 2 000 ₽::1-3 ч::1 год;Замена узла целиком::по согласованию::+1-2 ч::по запчасти;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт омывателя фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт омывателя фар;Ремонт омывателя фар в СПб — от 2 000 ₽ | КБ АВТО;Чистим форсунки, ремонтируем насосы и магистрали омывателя. Цена от 2 000 ₽. КБ АВТО, Санкт-Петербург.;ремонт омывателя фар, ремонт омывателя фар спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт омывателя фар в СПб — от 2 000 ₽ | КБ АВТО;Ремонт омывателя фар в СПб — от 2 000 ₽ | КБ АВТО
Ремонт отражателей фар — чистка или замена рефлекторов;remont-otrazhateley;6000;Чистим, заменяем или восстанавливаем отражатели методом вакуумного напыления — как с завода.;Восстановление света;Оптика и корпус;https://ksenonspb.ru/wp-content/uploads/2016/09/reflector-1.png;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Чистка или замена отражателей::от 6 000 ₽::3-5 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Вакуумное напыление отражателя::от 6 000 ₽::+1 день::1 год|Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт отражателей фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 6 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт отражателей / вакуумное напыление;Ремонт отражателей / вакуумное напыление в СПб — от 6 000 ₽…;Чистим, заменяем или восстанавливаем отражатели методом вакуумного напыления — как с завода. Цена от 6 000 ₽. КБ АВТО, Санкт-Петербург.;ремонт отражателей / вакуумное напыление, ремонт отражателей / вакуумное напыление спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт отражателей / вакуумное напыление в СПб — от 6 000 ₽…;Ремонт отражателей / вакуумное напыление в СПб — от 6 000 ₽…
Ремонт корпуса фар;remont-korpusa;2500;Герметично восстанавливаем трещины и сколы корпуса фары.;Герметичность;Оптика и корпус;https://ksenonspb.ru/wp-content/uploads/2020/03/9AAAAgDfYuA-19201.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Ремонт корпуса фары::от 2 500 ₽::2-4 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт корпуса фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт корпуса фар;Ремонт корпуса фар в СПб — от 2 500 ₽ | КБ АВТО;Герметично восстанавливаем трещины и сколы корпуса фары. Цена от 2 500 ₽. КБ АВТО, Санкт-Петербург.;ремонт корпуса фар, ремонт корпуса фар спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт корпуса фар в СПб — от 2 500 ₽ | КБ АВТО;Ремонт корпуса фар в СПб — от 2 500 ₽ | КБ АВТО
Восстановление креплений («ушек») фары;vosstanovlenie-krepleniy;2500;Сварка пластика или ремкомплекты — фара снова держится надёжно.;Сварка пластика;Оптика и корпус;https://ksenonspb.ru/wp-content/uploads/2020/11/h0AAAgEVyeA-9601.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Восстановление креплений («ушек»)::от 2 500 ₽::2-4 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает восстановление креплений?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";восстановление креплений;Восстановление креплений («ушек») в СПб — от 2 500 ₽ | КБ А…;Сварка пластика или ремкомплекты — фара снова держится надёжно. Цена от 2 500 ₽. КБ АВТО, Санкт-Петербург.;восстановление креплений, восстановление креплений спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Восстановление креплений («ушек») в СПб — от 2 500 ₽ | КБ А…;Восстановление креплений («ушек») в СПб — от 2 500 ₽ | КБ А…
Ремонт ксеноновых фар;remont-ksenonovyh-far;3000;Диагностика и ремонт специфических узлов штатного ксенона.;Штатный ксенон;Механика;https://ksenonspb.ru/wp-content/uploads/2018/05/m37-1.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Ремонт электрики фары::от 3 000 ₽::2-6 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Замена блоков / модулей (при необходимости)::по прайсу запчастей::+1-2 ч::по запчасти|Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт ксеноновых фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 3 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт ксеноновых фар;Ремонт ксеноновых фар (спец. узлы) в СПб — от 3 000 ₽ | КБ…;Диагностика и ремонт специфических узлов штатного ксенона. Цена от 3 000 ₽. КБ АВТО, Санкт-Петербург.;ремонт ксеноновых фар, ремонт ксеноновых фар спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт ксеноновых фар (спец. узлы) в СПб — от 3 000 ₽ | КБ…;Ремонт ксеноновых фар (спец. узлы) в СПб — от 3 000 ₽ | КБ…
Комплексное улучшение света фар;kompleksnoe-uluchshenie-sveta;5000;Подбираем оптимальное решение под ваш бюджет и задачи.;Под ваш бюджет;Тюнинг фар;https://ksenonspb.ru/portfolio/7MAAAgAzWOA-1920.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Замена линз Bi-LED / Xenon::от 5 000 ₽ / шт.::2-3 ч::2 года|Калибровка светового пучка::входит в стоимость::30 мин::-|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;Сколько времени занимает комплексное улучшение света фар?::Базовые работы по линзам — обычно 2–4 часа на фару.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 5 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.;комплексное улучшение света;Комплексное улучшение света в СПб — от 5 000 ₽ | КБ АВТО;Подбираем оптимальное решение под ваш бюджет и задачи. Цена от 5 000 ₽. КБ АВТО, Санкт-Петербург.;комплексное улучшение света, комплексное улучшение света спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Комплексное улучшение света в СПб — от 5 000 ₽ | КБ АВТО;Комплексное улучшение света в СПб — от 5 000 ₽ | КБ АВТО
Ремонт фар европейских производителей;remont-evropejskih-proizvoditelej;3500;Ремонт и восстановление фар европейских брендов — Valeo, Hella, Bosch, Magneti Marelli и аналоги.;Опыт с европейской оптикой;Ремонт фар;https://ksenonspb.ru/wp-content/uploads/2018/05/16c6149s-960.jpg;Диагностика и оценка объёма работ::Входит в стоимость::30 мин::-|Ремонт / восстановление фары::от 3 500 ₽::от 2 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|Volkswagen|PORSCHE|VOLVO|Land Rover|JAGUAR|MINI|Skoda|OPEL|PEUGEOT|RENAULT;Частые вопросы;"Сколько времени занимает ремонт фар европейских производителей?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 3 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт фар европейских производителей;Ремонт фар европейских производителей в СПб — от 3 500 ₽ |…;Ремонт и восстановление фар европейских брендов — Valeo, Hella, Bosch, Magneti Marelli и аналоги. Цена от 3 500 ₽. КБ АВТО, Санкт-Петербург.;ремонт фар европейских производителей, ремонт фар европейских производителей спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт фар европейских производителей в СПб — от 3 500 ₽ |…;Ремонт фар европейских производителей в СПб — от 3 500 ₽ |…
Ремонт фар китайских производителей;remont-kitajskih-proizvoditelej;2500;Восстанавливаем фары китайских марок — часто неразборные LED-модули и нестандартная геометрия.;Неразборные модули;Ремонт фар;https://ksenonspb.ru/wp-content/uploads/2020/11/KFAAAgLSoeA-9601.jpg;Диагностика и оценка объёма работ::Входит в стоимость::30 мин::-|Ремонт / восстановление фары::от 2 500 ₽::от 2 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;TOYOTA|LEXUS|NISSAN|HONDA|MAZDA|MITSUBISHI|SUBARU|SUZUKI|KIA|Hyundai|INFINITI|SsangYong;Частые вопросы;"Сколько времени занимает ремонт фар китайских производителей?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт фар китайских производителей;Ремонт фар китайских производителей в СПб — от 2 500 ₽ | КБ…;Восстанавливаем фары китайских марок — часто неразборные LED-модули и нестандартная геометрия. Цена от 2 500 ₽. КБ АВТО, Санкт-Петербург.;ремонт фар китайских производителей, ремонт фар китайских производителей спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт фар китайских производителей в СПб — от 2 500 ₽ | КБ…;Ремонт фар китайских производителей в СПб — от 2 500 ₽ | КБ…
Ремонт фар американского рынка;remont-amerikanskogo-rynka;3500;Ремонт оптики американского рынка — отличия в креплениях, проводке и светораспределении.;Специфика USDM;Ремонт фар;https://ksenonspb.ru/wp-content/uploads/2020/03/BYAAAgOQwuA-19201.jpg;Диагностика и оценка объёма работ::Входит в стоимость::30 мин::-|Ремонт / восстановление фары::от 3 500 ₽::от 2 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;FORD|CHEVROLET|CADILLAC|JEEP|DODGE|CHRYSLER|HUMMER|ACURA;Частые вопросы;"Сколько времени занимает ремонт фар американского рынка?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 3 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт фар американского рынка;Ремонт фар американского рынка в СПб — от 3 500 ₽ | КБ АВТО;Ремонт оптики американского рынка — отличия в креплениях, проводке и светораспределении. Цена от 3 500 ₽. КБ АВТО, Санкт-Петербург.;ремонт фар американского рынка, ремонт фар американского рынка спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт фар американского рынка в СПб — от 3 500 ₽ | КБ АВТО;Ремонт фар американского рынка в СПб — от 3 500 ₽ | КБ АВТО
Ремонт систем адаптивного освещения (AFS);remont-afs;4000;Диагностика и ремонт AFS: моторы, датчики, блоки управления.;AFS, Адаптивный свет;Регулировка и диагностика;https://ksenonspb.ru/wp-content/uploads/2018/05/b6ceb9ds-960.jpg;Диагностика системы AFS::Входит в стоимость::30-60 мин::-|Ремонт / адаптация AFS::от 4 000 ₽::2-6 ч::1 год;Замена датчиков / блоков::по согласованию::+2-4 ч::по запчасти;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|LEXUS|PORSCHE|Land Rover|JAGUAR|INFINITI|Maserati|BENTLEY;Частые вопросы;"Сколько времени занимает ремонт систем адаптивного освещения?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 4 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт систем адаптивного освещения;Ремонт систем адаптивного освещения (AFS) в СПб — от 4 000…;Диагностика и ремонт AFS: моторы, датчики, блоки управления. Цена от 4 000 ₽. КБ АВТО, Санкт-Петербург.;ремонт систем адаптивного освещения, ремонт систем адаптивного освещения спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт систем адаптивного освещения (AFS) в СПб — от 4 000…;Ремонт систем адаптивного освещения (AFS) в СПб — от 4 000…
Восстановление отражателей методом вакуумного напыления;vakuumnoe-napylenie;6000;Восстанавливаем выгоревшие отражатели методом вакуумного напыления — заводское качество отражения.;Как с завода;Оптика и корпус;https://ksenonspb.ru/wp-content/uploads/2016/09/reflector-1.png;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Вакуумное напыление отражателей::от 6 000 ₽::1-2 дня::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|LEXUS|PORSCHE|Land Rover|JAGUAR|INFINITI|Maserati|BENTLEY;Частые вопросы;Сколько времени занимает восстановление отражателей методом вакуумного напыления?::Вакуумное напыление занимает 1–2 рабочих дня.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 6 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.;восстановление отражателей методом вакуумного напыления;Восстановление отражателей методом вакуумного напыления в С…;Восстанавливаем выгоревшие отражатели методом вакуумного напыления — заводское качество отражения. Цена от 6 000 ₽. КБ АВТО, Санкт-Петербург.;восстановление отражателей методом вакуумного напыления, восстановление отражателей методом вакуумного напыления спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Восстановление отражателей методом вакуумного напыления в С…;Восстановление отражателей методом вакуумного напыления в С…
Ремонт и перепайка драйверов (плат управления) LED;remont-drayverov;4000;Перепаиваем LED-драйверы и платы управления в фарах и фонарях.;Электроника;Электрика и электроника;https://ksenonspb.ru/wp-content/uploads/2020/03/SGAAAgIfOeA-19201.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Ремонт / перепайка платы::от 4 000 ₽::2-6 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Замена блоков / модулей (при необходимости)::по прайсу запчастей::+1-2 ч::по запчасти|Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт и перепайка драйверов?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 4 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт/перепайка драйверов;Ремонт/перепайка драйверов (плат) LED в СПб — от 4 000 ₽ |…;Перепаиваем LED-драйверы и платы управления в фарах и фонарях. Цена от 4 000 ₽. КБ АВТО, Санкт-Петербург.;ремонт/перепайка драйверов, ремонт/перепайка драйверов спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт/перепайка драйверов (плат) LED в СПб — от 4 000 ₽ |…;Ремонт/перепайка драйверов (плат) LED в СПб — от 4 000 ₽ |…
Ремонт контроллеров управления фарой (ЭБУ);remont-kontrollerov;5000;Ремонт и прошивка блоков управления фарой.;ЭБУ фары;Электрика и электроника;https://ksenonspb.ru/wp-content/uploads/2016/09/e-repair-1.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Ремонт / перепайка платы::от 5 000 ₽::2-6 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Замена блоков / модулей (при необходимости)::по прайсу запчастей::+1-2 ч::по запчасти|Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт контроллеров управления фарой?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 5 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт контроллеров управления фарой;Ремонт контроллеров управления фарой (ЭБУ) в СПб — от 5 000…;Ремонт и прошивка блоков управления фарой. Цена от 5 000 ₽. КБ АВТО, Санкт-Петербург.;ремонт контроллеров управления фарой, ремонт контроллеров управления фарой спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт контроллеров управления фарой (ЭБУ) в СПб — от 5 000…;Ремонт контроллеров управления фарой (ЭБУ) в СПб — от 5 000…
